STATE,MAILCODE,CLUSTER,HOMEOWNR,GENDER,DATASRCE,SOLIH,VETERANS,RFA_2R,RFA_2A,GEOCODE2,DOMAIN_A,DOMAIN_B
CA,A,38,U,F,0,,,L,E,A,T,2
TX,A,2,U,M,0,,,L,G,A,U,1
CA,A,2,H,F,2,,,L,F,A,U,1
IL,A,24,H,M,3,,,L,F,B,C,1
IL,A,20,H,F,3,,Y,L,F,B,S,2
IN,A,49,U,M,2,,,L,F,C,R,2
WI,A,11,U,F,1,,,L,F,B,S,1
TX,A,14,H,F,2,,,L,F,A,S,1
FL,A,29,H,M,3,,,L,D,C,C,2
IL,A,20,U,M,0,,,L,F,A,S,2
WA,A,11,U,F,0,,,L,F,A,S,1
GA,A,1,H,M,1,,,L,F,D,U,1
FL,A,30,H,F,3,,Y,L,F,B,C,3
TX,A,12,H,F,3,,,L,G,A,S,1
other,A,40,U,M,2,12,,L,E,C,R,2
CA,A,5,H,M,3,,,L,E,A,U,2
GA,A,7,U,F,3,,,L,F,D,U,2
IL,A,40,H,M,2,,Y,L,E,A,T,2
other,A,34,U,M,3,,,L,F,C,T,1
other,A,45,U,F,0,12,,L,G,D,R,2
FL,A,36,H,F,3,,,L,E,B,T,2
IL,A,11,H,M,3,,,L,G,A,S,1
NC,A,38,U,other,3,12,Y,L,D,C,T,2
FL,A,23,H,F,1,,,L,E,A,C,1
other,A,35,U,F,0,,,L,F,C,T,1
TX,A,5,H,F,1,,,L,E,A,U,2
other,A,18,U,other,1,,,L,F,B,S,2
NC,A,50,U,F,2,,,L,F,D,R,3
other,A,50,H,F,3,,Y,L,G,D,R,3
FL,A,31,U,F,0,,,L,F,B,C,3
FL,A,35,U,F,0,,,L,F,B,T,1
CA,A,13,H,M,3,,Y,L,F,A,S,1
other,A,53,U,F,1,,,L,G,D,R,3
other,A,8,H,F,2,,,L,E,B,U,3
other,A,40,H,F,2,,,L,D,B,R,2
other,A,40,U,F,2,,,L,F,B,T,2
FL,B,28,H,M,3,,,L,G,A,C,2
CA,A,13,H,F,3,,,L,F,A,S,1
CA,A,28,H,M,2,,,L,D,B,C,2
MI,A,17,U,other,3,,,L,F,A,S,2
CA,A,1,U,F,2,,,L,F,A,U,1
CA,A,8,H,F,2,,,L,G,A,U,3
MI,A,17,U,M,1,,Y,L,D,B,S,2
other,A,24,H,F,1,,,L,F,B,C,1
other,A,51,H,M,3,,,L,F,C,R,3
MI,A,51,H,other,2,,Y,L,F,D,R,3
other,A,32,H,F,3,,,L,F,A,C,3
FL,A,49,U,F,2,,,L,F,A,R,2
other,A,18,H,M,2,,Y,L,F,B,S,2
other,A,34,U,F,0,,,L,D,B,T,1
IN,A,27,U,F,0,,,L,G,A,C,2
FL,A,17,U,F,0,,,L,G,B,S,2
GA,A,49,U,F,0,,,L,F,C,R,2
other,A,15,H,F,2,,,L,F,B,S,1
IL,A,16,H,F,2,,,L,E,A,S,2
IL,A,18,U,F,0,12,,L,F,A,S,2
other,A,49,U,M,3,,,L,G,B,R,2
GA,A,35,H,F,3,,,L,F,A,T,1
MI,A,21,H,M,3,,,L,F,B,S,3
FL,A,12,H,F,3,,Y,L,F,B,S,1
WA,A,40,H,M,3,,,L,F,A,T,2
other,A,3,H,F,2,,,L,F,A,U,1
WI,A,20,U,F,3,,,L,D,A,S,2
FL,A,27,U,M,0,,,L,F,C,C,2
NC,A,50,H,F,2,12,,L,F,D,R,3
MO,A,51,H,M,2,,,L,G,D,R,3
other,A,45,U,other,2,,,L,E,D,R,2
other,A,7,U,M,2,,,L,F,B,U,2
other,A,22,H,M,3,,,L,F,C,C,1
other,A,27,U,F,0,,,L,G,B,C,2
NC,A,47,U,F,0,,,L,D,D,R,2
WA,A,22,H,M,3,,,L,F,C,C,1
CA,A,24,U,F,0,,,L,F,A,C,1
other,A,30,U,F,1,,,L,F,D,C,3
CA,A,24,H,F,3,,,L,F,A,C,1
CA,B,39,U,M,0,,,L,F,A,T,2
MI,A,43,H,F,2,,,L,E,D,R,2
CA,A,3,U,M,2,,,L,G,A,U,1
other,A,17,U,M,0,,,L,E,B,S,2
CA,A,12,H,M,3,,,L,F,A,S,1
other,A,18,U,M,1,,,L,F,A,S,2
other,A,37,U,F,0,,,L,F,D,T,2
FL,A,9,U,M,2,,,L,E,A,U,3
TX,A,46,U,F,0,,,L,F,D,R,2
other,A,35,H,M,2,12,Y,L,E,C,T,1
other,A,31,U,F,3,,,L,E,D,C,3
FL,A,8,U,F,3,,,L,G,A,U,3
GA,A,13,U,F,0,,,L,F,A,S,1
FL,A,9,U,M,0,,,L,F,A,U,3
other,A,30,U,M,3,,,L,D,C,C,3
CA,A,29,H,M,3,,,L,G,A,C,2
GA,A,27,H,F,3,,,L,F,A,C,2
other,A,51,U,M,1,,,L,G,D,R,3
FL,A,27,H,F,3,,,L,E,B,C,2
other,A,24,U,F,1,,,L,E,A,C,1
other,A,13,U,F,0,,,L,G,B,S,1
IN,A,21,U,M,0,,,L,F,B,S,3
other,A,41,H,F,3,,,L,F,D,T,3
WA,A,27,U,M,0,,,L,F,C,C,2
CA,A,52,H,F,2,,,L,D,B,R,3
IL,A,5,U,M,0,,,L,F,A,U,2
other,A,37,U,F,0,,,L,G,D,T,2
FL,A,16,U,F,0,,,L,G,A,S,2
TX,A,31,H,F,3,,Y,L,D,D,C,3
FL,A,29,H,F,3,,,L,D,A,C,2
TX,A,24,H,F,3,,,L,E,C,C,1
CA,A,25,H,F,3,,,L,G,A,C,2
CA,A,2,H,F,2,,,L,F,A,U,1
WA,A,27,H,F,3,12,,L,E,C,C,2
WI,A,18,U,F,0,,,L,F,A,S,2
CA,A,39,H,M,3,,,L,F,C,T,2
CA,A,4,H,F,3,,,L,E,A,U,2
FL,A,28,H,M,3,,,L,G,B,C,2
CA,A,19,H,F,3,,,L,E,A,S,2
other,A,30,H,M,3,,,L,G,B,C,3
IL,A,27,H,F,3,,,L,G,C,C,2
other,A,32,H,F,3,,,L,F,B,C,3
CA,A,27,U,F,2,,,L,F,A,C,2
IL,A,41,U,F,2,,,L,E,C,T,3
MO,A,53,H,F,2,,,L,E,D,R,3
WI,A,44,U,F,2,,,L,F,C,R,2
MI,A,44,U,F,0,,,L,F,A,R,2
other,A,33,U,M,3,,,L,E,A,C,3
other,A,51,U,F,1,12,,L,D,D,R,3
other,A,40,U,M,3,,,L,G,C,R,2
other,A,51,U,F,0,,,L,F,D,R,3
NC,A,41,U,F,0,,,L,F,C,T,3
other,A,24,H,other,2,,,L,F,C,C,1
TX,A,44,U,M,2,12,,L,E,C,R,2
WI,A,13,H,F,3,,,L,G,B,S,1
IL,A,35,H,M,3,,Y,L,F,B,T,1
other,A,30,H,M,3,,,L,E,C,C,3
other,A,34,H,F,3,,,L,G,D,T,1
FL,A,28,H,F,1,,,L,F,B,C,2
TX,A,17,H,F,3,,,L,D,A,S,2
WA,A,2,H,M,2,,Y,L,F,A,U,1
CA,A,6,H,F,2,,,L,F,B,U,2
IN,A,41,U,M,0,,,L,F,D,T,3
CA,A,19,U,M,0,,,L,D,A,S,2
other,A,26,U,F,0,,,L,D,C,C,2
IL,A,45,U,M,3,12,,L,E,D,R,2
CA,A,51,H,F,2,,Y,L,E,A,R,3
CA,A,52,H,other,3,,,L,E,B,R,3
IL,A,34,H,M,3,,,L,G,C,T,1
CA,A,8,H,F,3,12,,L,E,A,U,3
other,A,41,H,F,3,,,L,F,B,T,3
FL,A,24,U,F,0,,,L,G,B,C,1
CA,A,13,H,F,3,,Y,L,G,A,S,1
IN,A,30,H,M,3,12,,L,F,C,C,3
other,A,12,H,M,3,,,L,G,A,S,1
CA,A,3,U,F,0,12,,L,F,A,U,1
IN,A,24,H,M,1,,,L,F,C,C,1
CA,A,34,H,F,2,,,L,F,A,T,1
CA,A,5,H,M,3,12,,L,E,B,U,2
TX,A,42,H,F,2,,,L,E,B,R,1
TX,A,53,U,F,3,,,L,F,D,R,3
MI,A,40,U,M,0,,,L,F,B,T,2
MI,A,35,H,F,2,,,L,F,B,T,1
other,A,45,U,M,3,12,,L,F,B,R,2
other,A,35,H,F,3,,,L,G,B,T,1
other,A,4,U,M,3,,,L,G,B,U,2
FL,A,29,U,F,3,,,L,G,A,C,2
MO,A,13,H,F,3,,,L,E,A,S,1
other,A,23,H,F,3,,,L,G,A,C,1
other,A,27,U,F,0,,,L,F,B,C,2
WA,B,10,U,F,0,,,L,F,A,U,4
MI,A,42,H,M,3,,,L,F,C,R,1
other,A,21,H,F,3,,,L,D,B,S,3
FL,A,28,U,F,1,,,L,F,D,C,2
CA,B,38,H,F,3,,,L,G,A,T,2
other,A,37,H,F,2,12,,L,G,D,T,2
other,A,45,H,M,3,,,L,G,D,R,2
NC,A,25,U,F,0,,,L,G,B,C,2
FL,A,28,U,F,2,,,L,D,A,C,2
WA,A,35,H,M,3,,,L,E,C,T,1
CA,A,52,H,F,3,12,,L,E,B,R,3
IL,A,26,H,F,3,,,L,D,A,C,2
WI,A,36,U,F,1,,,L,E,D,T,2
other,A,43,U,M,2,,,L,F,D,R,2
other,A,12,U,F,0,,,L,F,B,S,1
NC,A,37,H,F,3,,,L,E,C,T,2
other,A,15,U,F,2,,,L,F,B,S,1
WI,A,51,U,F,3,,,L,F,D,R,3
other,A,37,H,F,3,,,L,G,D,T,2
TX,A,18,H,M,3,,,L,G,B,S,2
MO,A,21,H,M,3,,,L,E,A,S,3
IN,A,36,U,M,3,,,L,G,B,T,2
other,A,35,H,M,1,,,L,F,B,T,1
other,A,40,H,F,3,,,L,E,C,T,2
IL,A,20,H,M,3,,,L,D,A,S,2
NC,A,27,U,F,2,,,L,F,C,C,2
GA,A,49,U,F,2,,,L,D,D,R,2
WA,A,40,U,F,0,,,L,E,A,T,2
WA,A,43,U,F,2,,,L,F,D,R,2
other,A,40,U,F,0,,,L,G,B,T,2
TX,A,13,H,F,3,,,L,G,A,S,1
CA,A,45,U,M,0,,,L,F,C,R,2
CA,A,13,H,F,2,,,L,G,A,S,1
NC,A,40,U,F,0,,,L,E,B,T,2
WI,A,20,H,M,3,12,Y,L,D,B,S,2
other,A,39,H,other,3,,,L,F,B,T,2
TX,A,14,U,F,0,,,L,F,A,S,1
other,A,11,H,M,3,,,L,G,B,S,1
other,A,17,H,M,3,,Y,L,E,B,S,2
MI,A,17,U,F,3,,,L,E,A,S,2
NC,A,50,U,F,2,,,L,F,C,R,3
WI,A,40,H,F,3,,,L,F,B,T,2
GA,A,36,U,M,0,,,L,G,D,T,2
CA,A,10,H,M,3,,,L,F,A,U,4
other,A,41,U,M,0,,,L,F,D,T,3
MO,A,40,H,M,3,,Y,L,E,B,R,2
other,A,40,H,M,2,,,L,E,D,R,2
other,A,37,U,F,0,,,L,D,D,T,2
other,A,39,H,M,3,,,L,G,B,T,2
CA,A,12,U,F,0,,,L,F,A,S,1
CA,A,53,H,F,3,,,L,F,D,R,3
other,A,14,H,F,3,,,L,F,A,S,1
CA,A,7,H,F,3,,,L,E,A,U,2
WA,B,27,H,M,3,,,L,F,C,C,2
MI,A,16,U,F,1,,,L,F,A,S,2
other,A,51,U,M,3,,,L,E,D,R,3
WI,A,18,U,F,0,,,L,F,B,S,2
MO,A,53,U,M,3,,,L,D,D,R,3
other,A,24,H,F,3,,,L,F,C,C,1
CA,A,24,H,M,3,,,L,E,A,C,1
MI,A,35,U,M,0,12,,L,F,A,T,1
TX,A,13,U,M,0,,,L,G,A,S,1
CA,A,40,U,F,0,,,L,F,A,R,2
other,A,36,H,M,3,12,,L,E,D,T,2
other,A,30,U,F,2,,,L,F,C,C,3
other,A,36,H,F,3,,,L,G,B,T,2
CA,A,2,H,F,3,12,,L,F,A,U,1
TX,A,12,H,F,2,,,L,G,C,S,1
IL,A,43,U,F,1,,,L,F,B,R,2
FL,A,28,U,F,0,,,L,E,A,C,2
CA,A,13,H,M,3,12,,L,F,A,S,1
MI,A,18,H,M,1,,,L,F,A,S,2
WA,A,49,U,M,3,,,L,G,C,R,2
TX,A,14,H,M,3,,,L,E,B,S,1
TX,A,30,H,F,3,,,L,F,A,C,3
other,A,19,U,F,0,,,L,F,B,S,2
FL,A,32,H,F,3,,,L,G,B,C,3
other,A,29,H,F,3,,,L,F,B,C,2
other,B,18,H,F,3,,,L,F,B,S,2
FL,A,12,U,other,1,,,L,F,A,S,1
other,A,49,H,M,2,,Y,L,E,C,R,2
other,A,41,H,F,2,,,L,E,B,T,3
CA,A,20,U,F,0,,,L,E,A,S,2
other,A,14,U,M,0,,,L,G,A,S,1
IL,A,28,H,M,3,12,Y,L,E,A,C,2
CA,A,25,U,M,0,,,L,G,A,C,2
WI,A,49,U,F,3,,,L,E,D,R,2
IN,A,44,H,F,3,0,,L,E,C,R,2
FL,A,52,H,F,2,,,L,E,B,R,3
TX,A,24,H,F,3,,Y,L,F,C,C,1
CA,A,46,H,F,3,,,L,G,D,R,2
FL,A,39,H,F,3,,Y,L,E,B,T,2
IN,A,46,U,F,0,,,L,G,D,R,2
NC,A,35,H,F,2,,,L,F,C,T,1
WI,A,45,H,M,3,,,L,D,C,R,2
FL,A,34,H,M,3,,,L,G,B,T,1
other,A,50,U,F,0,,,L,F,C,R,3
FL,A,33,H,F,3,,,L,G,B,C,3
WA,A,20,U,F,0,,,L,F,A,S,2
NC,A,12,H,M,3,,Y,L,E,B,S,1
CA,A,1,H,F,3,,,L,F,A,U,1
CA,A,25,H,F,3,,,L,E,B,C,2
TX,A,43,U,F,2,,,L,F,D,R,2
other,A,40,H,M,1,12,,L,E,B,R,2
other,A,50,U,F,2,,,L,F,B,R,3
NC,A,2,H,M,2,12,,L,G,B,U,1
WI,A,40,H,M,3,,,L,E,B,T,2
NC,A,35,U,M,3,,,L,F,C,T,1
other,A,12,U,M,0,,,L,F,A,S,1
IL,A,40,U,F,2,12,,L,F,D,R,2
MO,A,16,H,M,3,,Y,L,E,A,S,2
FL,A,33,U,F,0,,,L,D,B,C,3
other,A,24,H,M,3,,,L,F,B,C,1
WA,A,46,H,M,3,,,L,G,C,R,2
IL,A,3,U,F,0,,Y,L,E,A,U,1
CA,A,20,H,M,3,,,L,E,A,S,2
other,A,43,U,F,0,,,L,G,C,R,2
other,A,39,H,F,3,,Y,L,F,B,T,2
TX,A,3,U,F,0,,,L,D,A,U,1
other,A,13,H,M,2,,,L,F,B,S,1
CA,A,38,H,F,3,,,L,F,C,T,2
CA,A,19,H,M,3,,,L,F,A,S,2
IL,A,20,U,F,0,,,L,G,A,S,2
CA,A,13,H,F,2,,,L,F,A,S,1
IN,A,49,H,M,3,,,L,E,B,R,2
other,A,27,U,F,3,,,L,F,B,C,2
CA,A,13,U,M,0,,,L,E,A,S,1
IN,A,36,H,F,3,,,L,E,C,T,2
FL,A,9,U,F,0,,,L,E,A,U,3
other,A,45,U,M,2,,,L,F,D,R,2
other,A,35,U,F,0,,,L,F,A,T,1
TX,A,48,U,M,2,,Y,L,E,D,R,2
FL,A,16,U,M,0,,,L,G,B,S,2
other,A,27,U,M,0,12,,L,G,B,C,2
WA,A,35,H,M,3,,,L,F,B,T,1
IL,A,49,H,F,2,,,L,F,C,R,2
CA,A,3,H,F,3,,,L,F,A,U,1
NC,A,49,H,M,3,,,L,F,B,R,2
CA,A,6,U,F,0,,,L,D,A,U,2
other,A,43,H,F,3,,,L,E,D,R,2
MI,A,46,U,F,0,,,L,E,D,R,2
MI,A,3,U,M,3,,,L,F,A,U,1
other,A,40,H,M,3,,,L,F,A,R,2
other,A,40,U,F,3,,,L,F,C,T,2
other,A,45,H,M,2,,,L,F,D,R,2
FL,A,37,H,M,2,12,,L,E,C,T,2
CA,A,2,H,M,2,,,L,F,A,U,1
IL,A,14,U,M,0,,,L,G,A,S,1
CA,A,24,H,F,3,,,L,G,A,C,1
TX,A,48,H,F,3,,,L,F,D,R,2
CA,A,9,U,F,0,,,L,G,A,U,3
TX,A,35,H,M,3,,,L,E,A,T,1
IL,A,12,U,M,3,,Y,L,F,A,S,1
other,A,41,H,M,3,,Y,L,F,B,T,3
CA,A,13,U,F,3,,,L,G,A,S,1
FL,A,37,H,M,3,12,,L,G,B,T,2
other,A,36,H,M,3,,Y,L,E,B,T,2
IN,A,21,H,M,3,,Y,L,F,A,S,3
CA,A,26,U,M,1,,,L,E,B,C,2
other,A,35,H,F,3,,Y,L,E,B,T,1
other,A,45,H,F,2,,Y,L,E,C,R,2
MI,A,44,U,M,1,,,L,F,B,R,2
MI,A,49,U,F,1,,,L,D,A,R,2
TX,A,42,H,F,2,,,L,F,B,R,1
CA,A,10,U,M,3,12,,L,F,A,U,4
CA,A,34,H,M,3,,,L,D,A,T,1
CA,A,3,H,M,3,,,L,F,A,U,1
CA,A,29,U,F,3,,,L,E,A,C,2
GA,A,42,U,F,0,,,L,E,D,R,1
CA,A,40,H,M,2,,,L,G,A,T,2
other,A,35,H,F,3,,Y,L,F,A,T,1
CA,A,19,H,F,2,12,,L,D,A,S,2
FL,A,5,H,M,2,,,L,E,A,U,2
other,A,34,H,M,3,,Y,L,F,B,T,1
NC,A,12,H,M,1,,Y,L,F,B,S,1
TX,A,14,U,M,0,,,L,G,A,S,1
TX,A,11,H,F,3,,,L,E,B,S,1
other,A,44,U,F,3,,,L,F,C,R,2
CA,A,35,H,M,1,,,L,F,A,T,1
GA,A,43,H,M,2,,,L,E,D,R,2
other,A,18,H,M,3,,,L,F,B,S,2
other,A,50,U,M,0,,,L,G,D,R,3
IL,A,41,H,F,3,,,L,E,C,T,3
IL,A,25,H,M,2,,,L,E,B,C,2
FL,A,31,U,F,0,,,L,F,A,C,3
other,A,35,U,M,0,,,L,F,B,T,1
MI,A,20,U,F,3,,,L,E,A,S,2
CA,A,8,U,M,0,,,L,F,A,U,3
NC,A,30,H,M,3,,,L,F,B,C,3
MI,A,16,U,F,0,,,L,E,A,S,2
TX,B,34,U,M,3,,,L,F,C,T,1
GA,A,43,U,M,0,,,L,F,D,R,2
IN,A,36,H,M,3,,,L,G,D,T,2
FL,A,4,H,F,3,,,L,E,A,U,2
other,A,40,U,M,3,,Y,L,F,C,R,2
WA,A,39,H,other,2,,,L,F,A,T,2
other,A,46,H,F,3,,,L,E,D,R,2
other,A,33,U,M,0,,,L,E,A,C,3
other,A,52,U,F,0,,,L,G,B,R,3
other,A,47,H,F,2,,,L,F,D,R,2
GA,A,44,U,F,0,,,L,F,A,R,2
NC,A,50,H,F,3,,,L,E,D,R,3
WA,A,36,H,M,3,,,L,E,A,T,2
other,A,36,U,M,3,,Y,L,F,C,T,2
FL,A,9,U,M,2,,,L,D,A,U,3
IN,A,24,H,F,3,,,L,F,A,C,1
WI,A,1,U,F,0,,,L,F,B,U,1
CA,A,4,U,F,0,,,L,G,A,U,2
other,A,36,U,M,0,,,L,F,D,T,2
other,A,39,U,F,0,,,L,F,B,T,2
TX,A,36,U,F,0,,,L,F,C,T,2
MI,A,12,U,M,3,,,L,F,C,S,1
FL,A,11,H,M,2,,,L,F,A,S,1
FL,A,24,U,F,0,,,L,G,B,C,1
other,A,22,H,F,2,,,L,F,C,C,1
other,A,24,H,M,3,,,L,F,B,C,1
CA,A,3,H,F,2,,,L,D,A,U,1
CA,A,9,U,F,0,,,L,E,A,U,3
MO,A,36,H,F,3,,,L,D,D,T,2
GA,A,12,H,M,3,,,L,F,A,S,1
other,A,42,U,F,0,,,L,F,D,R,1
FL,A,33,U,M,0,,,L,E,A,C,3
other,A,14,H,F,3,,,L,F,B,S,1
IN,A,45,H,M,3,,,L,F,D,R,2
WI,A,44,H,M,3,,,L,D,D,R,2
IL,A,38,H,F,3,,,L,F,C,T,2
MO,A,13,H,F,3,,,L,E,A,S,1
other,A,12,H,F,2,,,L,F,A,S,1
other,A,5,U,M,0,,,L,E,B,U,2
FL,A,29,U,F,2,,,L,E,B,C,2
other,A,51,H,M,2,,,L,F,C,R,3
CA,A,34,H,M,2,,,L,F,B,T,1
CA,A,11,H,F,2,,,L,F,A,S,1
IN,A,44,H,M,2,,,L,E,B,R,2
FL,A,23,H,M,2,,,L,F,C,C,1
other,A,40,U,M,2,,,L,E,A,R,2
FL,A,9,H,F,3,,,L,E,A,U,3
CA,A,14,U,F,0,,Y,L,E,A,S,1
CA,A,40,U,F,0,12,,L,F,A,R,2
CA,A,2,H,M,3,2,,L,F,A,U,1
CA,A,2,H,F,1,12,Y,L,E,A,U,1
TX,A,44,U,M,2,,,L,F,D,R,2
other,A,49,H,F,3,,,L,E,B,R,2
IL,A,8,U,F,0,,,L,F,A,U,3
other,A,27,H,F,3,,,L,F,B,C,2
FL,A,23,U,F,0,12,,L,G,B,C,1
FL,A,36,H,M,3,,,L,F,C,T,2
IL,A,11,U,other,1,,,L,F,A,S,1
NC,A,36,H,M,2,,,L,E,C,T,2
other,A,36,H,M,3,,,L,F,C,T,2
CA,A,40,H,F,2,,,L,G,A,R,2
FL,A,29,H,F,3,,,L,E,A,C,2
TX,A,24,U,F,0,,,L,F,A,C,1
other,A,13,H,M,3,,,L,G,A,S,1
other,A,51,U,F,0,,Y,L,F,B,R,3
TX,A,12,H,M,2,,,L,F,A,S,1
IL,A,8,H,M,3,,,L,G,A,U,3
FL,A,23,H,F,3,,,L,E,A,C,1
other,A,25,U,M,0,,,L,E,B,C,2
other,A,30,U,F,0,12,,L,F,B,C,3
TX,A,10,H,F,2,,,L,G,A,U,4
NC,A,27,H,M,2,,Y,L,E,D,C,2
other,A,49,U,M,0,,,L,F,D,R,2
FL,A,14,H,M,1,,,L,G,A,S,1
IN,A,49,H,M,3,,,L,F,C,R,2
IL,A,21,H,F,3,,,L,F,B,S,3
other,A,39,U,F,0,,,L,F,C,T,2
TX,A,48,H,M,2,,,L,F,D,R,2
other,A,2,H,F,1,,,L,F,B,U,1
other,A,43,U,M,3,,,L,G,C,R,2
MO,A,31,U,F,0,,,L,F,B,C,3
TX,A,46,U,F,2,,,L,F,D,R,2
CA,A,26,U,F,0,,,L,F,A,C,2
other,A,21,H,M,3,,Y,L,G,B,S,3
CA,A,23,U,F,0,,,L,E,C,C,1
WI,A,43,H,F,2,,,L,F,D,R,2
IL,A,24,H,F,3,,,L,F,A,C,1
other,A,42,H,M,3,,,L,F,D,R,1
FL,A,21,H,M,3,,,L,F,A,S,3
CA,A,13,H,M,3,,,L,G,A,S,1
CA,A,7,H,F,3,,,L,G,A,U,2
IL,A,40,H,F,3,,,L,E,A,T,2
other,A,36,U,F,2,,,L,E,C,T,2
other,A,31,U,F,2,,,L,E,D,C,3
IL,A,31,U,M,2,,,L,G,B,C,3
WI,A,18,H,F,3,,,L,G,A,S,2
TX,A,30,H,F,3,,,L,E,A,C,3
GA,A,15,H,M,3,,Y,L,G,A,S,1
CA,A,16,U,F,0,,,L,E,B,S,2
NC,A,35,U,M,2,12,,L,F,B,T,1
CA,A,24,H,M,2,,,L,F,A,C,1
TX,A,46,H,M,3,,Y,L,F,A,R,2
NC,A,17,U,M,0,,,L,F,B,S,2
other,A,25,U,F,1,,,L,D,B,C,2
other,A,40,H,F,2,12,,L,E,B,R,2
GA,A,27,H,M,2,,Y,L,G,B,C,2
CA,A,2,U,F,2,,,L,F,A,U,1
WA,A,40,H,F,2,,,L,G,B,T,2
FL,A,29,H,F,3,,,L,F,B,C,2
other,A,43,H,F,1,,,L,G,B,R,2
IL,A,1,H,F,3,,,L,F,A,U,1
WI,A,11,H,M,1,,Y,L,F,C,S,1
GA,A,15,H,M,3,,,L,F,A,S,1
FL,A,12,H,M,3,,,L,F,B,S,1
CA,A,20,H,F,2,,,L,E,A,S,2
CA,B,31,U,F,0,,,L,F,A,C,3
other,A,53,U,M,3,,,L,E,D,R,3
other,A,24,H,F,3,,,L,G,B,C,1
other,A,21,U,F,0,,,L,F,B,S,3
WI,A,12,U,F,2,,,L,D,B,S,1
FL,A,29,U,F,0,,,L,D,B,C,2
FL,A,27,H,M,3,,,L,F,B,C,2
CA,A,3,U,F,2,,,L,F,A,U,1
other,A,8,U,M,1,,Y,L,E,B,U,3
TX,A,18,H,F,2,,,L,F,A,S,2
MI,A,26,H,F,3,,,L,F,A,C,2
CA,A,4,U,M,0,,,L,G,A,U,2
other,A,43,H,F,2,,,L,F,D,R,2
other,A,35,H,F,2,,,L,F,B,T,1
other,A,18,H,F,3,,,L,F,A,S,2
IN,A,35,U,F,3,,,L,F,B,T,1
GA,A,50,H,F,2,,Y,L,E,D,R,3
IL,A,34,U,M,1,,,L,F,A,T,1
other,A,34,U,F,0,,,L,F,C,T,1
IN,A,40,U,F,3,,,L,F,A,T,2
GA,A,19,U,F,0,,,L,E,A,S,2
CA,A,2,H,F,3,,,L,F,A,U,1
FL,A,18,U,F,2,,,L,F,B,S,2
CA,A,1,H,other,3,,,L,F,A,U,1
FL,A,4,U,F,0,,,L,F,A,U,2
CA,A,48,U,M,0,,,L,D,A,R,2
other,A,5,H,F,3,12,,L,E,B,U,2
FL,A,26,U,F,0,,,L,G,C,C,2
other,A,38,U,F,0,,,L,D,D,T,2
TX,A,49,H,F,3,,Y,L,F,A,R,2
other,A,24,H,F,3,,,L,G,C,C,1
other,A,42,H,M,3,,,L,D,D,R,1
WI,A,42,H,F,3,,,L,E,C,R,1
TX,A,33,U,F,3,,,L,F,C,C,3
other,A,26,U,M,0,,,L,F,A,C,2
WA,A,41,H,F,2,,,L,F,B,T,3
IN,A,20,U,F,3,,,L,F,B,S,2
other,A,12,H,F,3,,,L,F,A,S,1
NC,A,37,H,F,3,,,L,D,C,T,2
other,A,43,H,F,2,,,L,E,D,R,2
other,A,29,H,F,3,,Y,L,G,A,C,2
TX,A,46,U,M,2,,,L,F,D,R,2
other,A,8,H,F,3,,,L,F,B,U,3
WI,A,24,U,F,0,,,L,E,C,C,1
WA,A,18,H,M,3,,,L,F,A,S,2
TX,A,22,H,F,2,,,L,D,B,C,1
IN,A,46,H,M,3,,,L,G,D,R,2
MI,A,39,H,M,2,,,L,F,A,T,2
other,A,18,H,F,3,,,L,E,C,S,2
IL,A,53,U,F,0,,,L,G,D,R,3
other,A,18,H,M,3,,,L,F,B,S,2
other,A,14,H,M,3,,,L,E,B,S,1
other,A,45,U,F,2,,,L,G,C,R,2
CA,A,18,H,M,3,,,L,F,A,S,2
CA,A,40,H,M,2,,,L,G,A,T,2
IL,A,36,H,F,3,,,L,D,C,T,2
other,A,27,U,F,0,,,L,E,C,C,2
CA,A,5,H,M,2,,,L,F,A,U,2
WA,A,49,U,F,0,,,L,E,C,R,2
other,A,30,H,F,2,,,L,F,B,C,3
CA,A,20,U,F,2,,Y,L,F,B,S,2
FL,A,18,H,F,2,12,,L,E,A,S,2
CA,A,6,H,M,2,,,L,D,A,U,2
CA,A,40,H,M,3,12,,L,G,A,R,2
other,A,44,U,M,3,,,L,E,D,R,2
other,A,16,U,F,0,,,L,F,B,S,2
CA,A,15,U,F,0,,,L,F,A,S,1
CA,A,23,U,M,0,,,L,E,A,C,1
other,A,41,H,M,3,,Y,L,G,C,T,3
WI,A,46,H,M,3,,,L,F,D,R,2
IL,A,40,H,F,3,,,L,F,A,T,2
other,A,41,H,F,3,,,L,F,D,T,3
FL,A,30,H,other,3,,,L,F,C,C,3
TX,A,39,U,F,2,,,L,F,B,T,2
NC,A,27,H,F,3,,,L,D,C,C,2
other,A,48,U,F,0,,,L,F,D,R,2
FL,A,37,U,M,3,,,L,F,D,T,2
IL,A,24,H,M,3,,,L,F,A,C,1
CA,A,46,U,M,3,,,L,D,B,R,2
TX,A,11,U,M,0,12,,L,E,A,S,1
CA,A,7,H,M,2,,,L,E,A,U,2
FL,A,31,H,F,3,12,,L,F,C,C,3
NC,A,31,U,M,0,,,L,F,B,C,3
other,A,29,H,F,3,,,L,F,A,C,2
TX,A,40,H,F,2,,,L,G,A,T,2
TX,A,39,U,M,0,,Y,L,E,B,T,2
